exchange,last_price,last_vol,spread,trade_time
fmcpay,1.583e-05,119458520507.52,0.126342,2025-02-04 17:14:07+00:00
binance_us,1.574e-05,7333727471.20521,0.250941,2025-02-04 17:17:03+00:00
coinzoom,1.783e-05,549219.0,0.189274,2025-02-02 01:54:55+00:00
coinlist,1.594e-05,31914629.4105,0.562852,2025-02-04 17:17:09+00:00
