exchange,last_price,last_vol,spread,trade_time
gdax,0.25904,89278780.9,0.03861,2025-02-04 17:12:11+00:00
binance_us,0.26096,2784113.003103924,0.489746,2025-02-04 17:16:50+00:00
coinzoom,0.275,3250.0,16.666667,2025-02-04 00:55:13+00:00
