exchange,last_price,last_vol,spread,trade_time
gdax,214.51,68498.835,0.065134,2025-02-04 17:12:49+00:00
kraken,216.14,30956.01941641,0.014626,2025-02-04 17:15:47+00:00
binance_us,216.39,12232.257499237488,0.194031,2025-02-04 17:16:49+00:00
coinlist,213.1588,1098.3999,0.465979,2025-02-04 17:17:09+00:00
