exchange,last_price,last_vol,spread,trade_time
kraken,20.75549,141379.24400695,0.127215,2025-02-04 17:15:41+00:00
fmcpay,20.75,187540.118,0.048239,2025-02-04 17:15:20+00:00
binance_us,20.67,7970.248330914369,0.481696,2025-02-04 17:16:50+00:00
coinlist,20.7136,54.6881,0.561893,2025-02-04 17:17:09+00:00
