exchange,last_price,last_vol,spread,trade_time
gdax,99511.41,498.71926825,0.016456,2025-02-04 17:15:36+00:00
tapbit,99270.37,4368.3934,0.011127,2025-02-04 17:13:41+00:00
kraken,99484.8,234.22156948,0.010101,2025-02-04 17:15:36+00:00
gemini,99461.75,6.71181241,0.143392,2025-02-04 17:15:36+00:00
fmcpay,99540.23,82.90936943,0.036498,2025-02-04 17:16:22+00:00
binance_us,99567.81,30.063931161914677,0.084107,2025-02-04 16:38:41+00:00
coinzoom,99279.95,0.051463,0.067434,2025-02-04 17:12:59+00:00
coinlist,99038.28,0.8739,0.01001,2025-02-04 16:58:47+00:00
