exchange,last_price,last_vol,spread,trade_time
gdax,2831.9,25712.03431758,0.084352,2025-02-04 17:16:57+00:00
tapbit,2815.64,820034.5376,0.01071,2025-02-04 17:13:40+00:00
kraken,2837.21,4297.41316637,0.019752,2025-02-04 17:15:40+00:00
gemini,2838.74,46.967974,0.10183,2025-02-04 17:16:25+00:00
fmcpay,2836.0,631.77142094,0.031263,2025-02-04 17:15:20+00:00
binance_us,2834.55,324.0267071094177,0.413107,2025-02-04 17:16:49+00:00
coinzoom,2853.95,0.35,0.067251,2025-02-04 02:06:04+00:00
coinlist,2768.24,29.4855,0.148611,2025-02-04 17:12:05+00:00
